	R	G	B	
normalized				
677	0.042066175	-0.001220044	-0.001322567	
678	0.037687746	-0.001394336	-0.001322567	
679	0.03336474	-0.001481481	-0.001392176	
680	0.02898631	-0.001655773	-0.001392176	
681	0.025051266	-0.002004357	-0.001461785	
682	0.021060799	-0.002352941	-0.001531394	
683	0.017070332	-0.002614379	-0.001601002	
684	0.013079865	-0.002962963	-0.00174022	
685	0.012137671	-0.002614379	-0.001601002	
686	0.011140054	-0.002352941	-0.001392176	
687	0.010197861	-0.002091503	-0.001252958	
688	0.009255667	-0.001742919	-0.001113741	
689	0.008313473	-0.001481481	-0.000974523	
690	0.00737128	-0.001132898	-0.000835306	
691	0.006872471	-0.00087146	-0.000696088	
692	0.006429086	-0.000610022	-0.00055687	
693	0.005930278	-0.000261438	-0.000417653	
694	0.005486892	0	-0.000278435	
695	0.004988084	-8.7146E-05	-0.000278435	
696	0.004544699	-0.000174292	-0.000348044	
697	0.00404589	-0.000348584	-0.000417653	
698	0.003547082	-0.00043573	-0.000487262	
699	0.003103697	-0.000522876	-0.000487262	
700	0.002604888	-0.000697168	-0.00055687	
